epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,150.268,1.47113,1.49145,1.64918,0.56048,0.40794,0.40473,0.19027,1.9526,1.65958,2.15376,0.0005347,0.0005347,0.0005347
49,316.53,1.44382,1.47991,1.64665,0.54883,0.42069,0.39627,0.19543,1.91771,1.60673,2.14081,0.0005248,0.0005248,0.0005248
50,473.855,1.44508,1.45755,1.63811,0.38141,0.50895,0.39375,0.18632,1.95485,1.60293,2.19948,0.0005149,0.0005149,0.0005149
51,619.055,1.40815,1.43151,1.61596,0.5616,0.4097,0.40622,0.19465,1.9464,1.61321,2.17558,0.000505,0.000505,0.000505
52,761.427,1.43447,1.44577,1.63335,0.40543,0.48808,0.39879,0.18104,2.0019,1.63697,2.21517,0.0004951,0.0004951,0.0004951
53,912.35,1.39085,1.40657,1.60739,0.55253,0.45495,0.40865,0.19374,1.91325,1.65959,2.12993,0.0004852,0.0004852,0.0004852
54,1060.87,1.37446,1.36406,1.58585,0.56591,0.44007,0.41624,0.19599,1.93246,1.59781,2.15165,0.0004753,0.0004753,0.0004753
55,1204.51,1.36158,1.31013,1.5579,0.39122,0.53067,0.40919,0.18865,1.94617,1.60559,2.16774,0.0004654,0.0004654,0.0004654
56,1353.56,1.38148,1.36105,1.59123,0.48624,0.46972,0.42601,0.19305,1.98852,1.57746,2.1973,0.0004555,0.0004555,0.0004555
57,1493.21,1.34478,1.26721,1.54944,0.40115,0.50381,0.40352,0.18872,1.96384,1.59911,2.20745,0.0004456,0.0004456,0.0004456
58,1636.96,1.36162,1.30946,1.564,0.5278,0.46534,0.41011,0.18745,1.96893,1.65453,2.18613,0.0004357,0.0004357,0.0004357
59,1781.19,1.32972,1.30613,1.53672,0.39107,0.47203,0.40164,0.18393,2.00234,1.64428,2.21714,0.0004258,0.0004258,0.0004258
60,1924.85,1.32564,1.28171,1.52568,0.3746,0.4779,0.40996,0.18513,2.00308,1.67013,2.24715,0.0004159,0.0004159,0.0004159
61,2096.21,1.30999,1.26002,1.5295,0.50716,0.5061,0.42062,0.19517,1.99658,1.59167,2.23899,0.000406,0.000406,0.000406
62,2274.02,1.30914,1.28736,1.53164,0.57973,0.44605,0.40617,0.1923,2.0148,1.61672,2.24641,0.0003961,0.0003961,0.0003961
63,2454.97,1.29858,1.25132,1.52631,0.43776,0.48745,0.40987,0.18947,1.97148,1.58291,2.20688,0.0003862,0.0003862,0.0003862
64,2635.56,1.25858,1.19047,1.49505,0.41168,0.4568,0.43202,0.19338,1.96482,1.5598,2.19566,0.0003763,0.0003763,0.0003763
65,2817.7,1.27608,1.20339,1.5162,0.41869,0.49239,0.41742,0.18915,2.00657,1.59427,2.25896,0.0003664,0.0003664,0.0003664
66,3001.11,1.24284,1.17872,1.49842,0.4379,0.47086,0.42019,0.19498,1.98881,1.60519,2.26892,0.0003565,0.0003565,0.0003565
67,3182.97,1.2382,1.18586,1.4833,0.4656,0.51365,0.4434,0.20358,2.00262,1.56021,2.2638,0.0003466,0.0003466,0.0003466
68,3367.84,1.23782,1.165,1.49588,0.45176,0.47754,0.42687,0.19844,1.97221,1.61909,2.2135,0.0003367,0.0003367,0.0003367
69,3551.36,1.21035,1.19719,1.47459,0.43236,0.39815,0.4179,0.19537,1.98346,1.62078,2.23308,0.0003268,0.0003268,0.0003268
70,3734.87,1.18653,1.12299,1.4443,0.38928,0.52136,0.42842,0.19827,2.00924,1.56453,2.32643,0.0003169,0.0003169,0.0003169
71,3918.25,1.19596,1.13734,1.44938,0.39398,0.47231,0.40384,0.18494,1.98874,1.61842,2.26549,0.000307,0.000307,0.000307
72,4102.52,1.15881,1.10311,1.42556,0.45363,0.49002,0.41954,0.18514,1.99792,1.59769,2.27779,0.0002971,0.0002971,0.0002971
73,4286.75,1.16842,1.13172,1.43103,0.42714,0.51062,0.42973,0.18827,2.0175,1.57978,2.3226,0.0002872,0.0002872,0.0002872
74,4472.28,1.14378,1.07174,1.40554,0.42814,0.45047,0.4292,0.19413,2.02128,1.65068,2.32083,0.0002773,0.0002773,0.0002773
75,4656.15,1.14071,1.06767,1.39914,0.42915,0.52972,0.42273,0.19474,2.00185,1.57136,2.27943,0.0002674,0.0002674,0.0002674
76,4835.58,1.15093,1.09212,1.41596,0.40004,0.52099,0.40973,0.1859,1.98642,1.53029,2.27751,0.0002575,0.0002575,0.0002575
77,5019.87,1.11114,1.04586,1.38481,0.5681,0.44812,0.43116,0.19315,2.01937,1.61176,2.30771,0.0002476,0.0002476,0.0002476
